combinacion,accuracy,f1,precision,recall
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'residual_sugar'),0.4650887573964497,0.37233955299889365,0.34776290808281735,0.4650887573964497
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'chlorides'),0.46982248520710057,0.37744456197167503,0.40324922224325227,0.46982248520710057
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'free_sulfur_dioxide'),0.46982248520710057,0.37351789450112943,0.3511344649744107,0.46982248520710057
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'total_sulfur_dioxide'),0.4710059171597633,0.38583058387598107,0.3572213858058191,0.4710059171597633
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'density'),0.4863905325443787,0.4208561852663468,0.44228032652586524,0.4863905325443787
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'pH'),0.4603550295857988,0.368411043731801,0.34026854234528237,0.4603550295857988
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'sulphates'),0.45680473372781066,0.36736755547540473,0.3353909773750919,0.45680473372781066
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'alcohol'),0.5289940828402366,0.48761576316041355,0.48391364811633103,0.5289940828402366
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'chlorides'),0.47337278106508873,0.38718781424987564,0.4277804325420404,0.47337278106508873
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'free_sulfur_dioxide'),0.46272189349112425,0.3685863925754744,0.3446321813185718,0.46272189349112425
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'total_sulfur_dioxide'),0.4804733727810651,0.3948692091736048,0.3648294235777561,0.4804733727810651
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'density'),0.47692307692307695,0.4149138549255728,0.44211714045571254,0.47692307692307695
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'pH'),0.46745562130177515,0.3785928915793883,0.34854249595593995,0.46745562130177515
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'sulphates'),0.4603550295857988,0.3724008278834327,0.3393788915960862,0.4603550295857988
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'alcohol'),0.5301775147928994,0.4895334541134849,0.4857435234740436,0.5301775147928994
('fixed_acidity', 'volatile_acidity', 'chlorides', 'free_sulfur_dioxide'),0.47455621301775147,0.3865001524913192,0.42196288784216435,0.47455621301775147
('fixed_acidity', 'volatile_acidity', 'chlorides', 'total_sulfur_dioxide'),0.4816568047337278,0.4083741505351078,0.40613381323583125,0.4816568047337278
('fixed_acidity', 'volatile_acidity', 'chlorides', 'density'),0.47810650887573963,0.41584918103563684,0.43824590497485116,0.47810650887573963
('fixed_acidity', 'volatile_acidity', 'chlorides', 'pH'),0.4686390532544379,0.38303727580565183,0.4010798880398077,0.4686390532544379
('fixed_acidity', 'volatile_acidity', 'chlorides', 'sulphates'),0.47810650887573963,0.39285430735241966,0.4192999203032648,0.47810650887573963
('fixed_acidity', 'volatile_acidity', 'chlorides', 'alcohol'),0.527810650887574,0.4900535974494053,0.48158976363546147,0.527810650887574
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.4863905325443787,0.4032067122106793,0.3701635578558656,0.4863905325443787
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'density'),0.4804733727810651,0.41333039502924807,0.437883553303705,0.4804733727810651
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'pH'),0.4556213017751479,0.3664743477088799,0.33565566051206325,0.4556213017751479
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'sulphates'),0.4544378698224852,0.3663364839319471,0.3339207535601677,0.4544378698224852
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'alcohol'),0.5254437869822485,0.4837867643816757,0.4823498981358514,0.5254437869822485
('fixed_acidity', 'volatile_acidity', 'total_sulfur_dioxide', 'density'),0.47928994082840237,0.4120929785637819,0.41709498299597164,0.47928994082840237
('fixed_acidity', 'volatile_acidity', 'total_sulfur_dioxide', 'pH'),0.4757396449704142,0.39237570895805274,0.35961261154439017,0.4757396449704142
('fixed_acidity', 'volatile_acidity', 'total_sulfur_dioxide', 'sulphates'),0.47928994082840237,0.39735301712700377,0.3614293122390353,0.47928994082840237
('fixed_acidity', 'volatile_acidity', 'total_sulfur_dioxide', 'alcohol'),0.5301775147928994,0.48875593064461437,0.48453240265855974,0.5301775147928994
('fixed_acidity', 'volatile_acidity', 'density', 'pH'),0.5041420118343195,0.44792928570443363,0.4814521219830585,0.5041420118343195
