combinacion,accuracy,f1,precision,recall
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'residual_sugar'),0.48284023668639053,0.4454031371415207,0.4389570827698228,0.48284023668639053
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'chlorides'),0.46982248520710057,0.4385806094205701,0.45869802185221925,0.46982248520710057
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'free_sulfur_dioxide'),0.4710059171597633,0.4226472720669061,0.42524159453917043,0.4710059171597633
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'total_sulfur_dioxide'),0.4863905325443787,0.4494850247817216,0.44041336589831576,0.4863905325443787
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'density'),0.48520710059171596,0.459551853258417,0.4481030843094899,0.48520710059171596
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'pH'),0.48520710059171596,0.44322019358086645,0.4368203803018951,0.48520710059171596
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'sulphates'),0.47455621301775147,0.4239932019437803,0.44366576128158713,0.47455621301775147
('fixed_acidity', 'volatile_acidity', 'citric_acid', 'alcohol'),0.5455621301775148,0.5164012993177551,0.5018207054257439,0.5455621301775148
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'chlorides'),0.47928994082840237,0.4470200156379937,0.4376909526175528,0.47928994082840237
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'free_sulfur_dioxide'),0.49467455621301776,0.45709204180549295,0.4728744452810868,0.49467455621301776
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'total_sulfur_dioxide'),0.5029585798816568,0.46540010249817676,0.46024245128886293,0.5029585798816568
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'density'),0.49940828402366866,0.4685986129736851,0.4586117643554874,0.49940828402366866
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'pH'),0.47928994082840237,0.44637536328293276,0.43741100760340706,0.47928994082840237
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'sulphates'),0.48994082840236686,0.4487427514029993,0.4447920689741472,0.48994082840236686
('fixed_acidity', 'volatile_acidity', 'residual_sugar', 'alcohol'),0.5431952662721894,0.5153188570681242,0.5001807571645629,0.5431952662721894
('fixed_acidity', 'volatile_acidity', 'chlorides', 'free_sulfur_dioxide'),0.463905325443787,0.43843391810361726,0.4611528592145734,0.463905325443787
('fixed_acidity', 'volatile_acidity', 'chlorides', 'total_sulfur_dioxide'),0.5017751479289941,0.4753610326811319,0.4960973606934475,0.5017751479289941
('fixed_acidity', 'volatile_acidity', 'chlorides', 'density'),0.5005917159763313,0.47462778648440646,0.4609914388682918,0.5005917159763313
('fixed_acidity', 'volatile_acidity', 'chlorides', 'pH'),0.4840236686390533,0.4557964042371933,0.44293529664341874,0.4840236686390533
('fixed_acidity', 'volatile_acidity', 'chlorides', 'sulphates'),0.4887573964497041,0.4553836207878646,0.44574950866258284,0.4887573964497041
('fixed_acidity', 'volatile_acidity', 'chlorides', 'alcohol'),0.527810650887574,0.5003444152182699,0.4857011228053158,0.527810650887574
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.4757396449704142,0.43690161643180775,0.4338627712967225,0.4757396449704142
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'density'),0.48994082840236686,0.46237655231288133,0.44749319353895545,0.48994082840236686
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'pH'),0.4556213017751479,0.40611736029294,0.3964356102539855,0.4556213017751479
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'sulphates'),0.47928994082840237,0.4395714227095279,0.47982091960506035,0.47928994082840237
('fixed_acidity', 'volatile_acidity', 'free_sulfur_dioxide', 'alcohol'),0.5443786982248521,0.5156655454124853,0.5009705981694405,0.5443786982248521
('fixed_acidity', 'volatile_acidity', 'total_sulfur_dioxide', 'density'),0.5041420118343195,0.48170250316036767,0.4845490758853576,0.5041420118343195
('fixed_acidity', 'volatile_acidity', 'total_sulfur_dioxide', 'pH'),0.4840236686390533,0.45023101031589213,0.43588405280664566,0.4840236686390533
('fixed_acidity', 'volatile_acidity', 'total_sulfur_dioxide', 'sulphates'),0.5005917159763313,0.46124665762831873,0.45507670236415176,0.5005917159763313
('fixed_acidity', 'volatile_acidity', 'total_sulfur_dioxide', 'alcohol'),0.5254437869822485,0.500329816384037,0.4857696867216844,0.5254437869822485
('fixed_acidity', 'volatile_acidity', 'density', 'pH'),0.5183431952662721,0.4935999057206481,0.4794010537591124,0.5183431952662721
('fixed_acidity', 'volatile_acidity', 'density', 'sulphates'),0.5124260355029586,0.48506852718148585,0.4704752051652646,0.5124260355029586
('fixed_acidity', 'volatile_acidity', 'density', 'alcohol'),0.5479289940828402,0.5220259582555468,0.5059728351065527,0.5479289940828402
('fixed_acidity', 'volatile_acidity', 'pH', 'sulphates'),0.4804733727810651,0.4323660263571858,0.43773662151739084,0.4804733727810651
('fixed_acidity', 'volatile_acidity', 'pH', 'alcohol'),0.5420118343195266,0.5144787214517552,0.49668581845780096,0.5420118343195266
('fixed_acidity', 'volatile_acidity', 'sulphates', 'alcohol'),0.5230769230769231,0.49360894470280503,0.47814843791539763,0.5230769230769231
('fixed_acidity', 'citric_acid', 'residual_sugar', 'chlorides'),0.45680473372781066,0.42469423201404105,0.41332321304476555,0.45680473372781066
('fixed_acidity', 'citric_acid', 'residual_sugar', 'free_sulfur_dioxide'),0.47810650887573963,0.4382249194817475,0.43509768262866577,0.47810650887573963
('fixed_acidity', 'citric_acid', 'residual_sugar', 'total_sulfur_dioxide'),0.47455621301775147,0.4372873900293256,0.4296540327309558,0.47455621301775147
('fixed_acidity', 'citric_acid', 'residual_sugar', 'density'),0.47810650887573963,0.44977607772972095,0.4398032246474591,0.47810650887573963
('fixed_acidity', 'citric_acid', 'residual_sugar', 'pH'),0.46153846153846156,0.4175587404856187,0.42608524909408274,0.46153846153846156
('fixed_acidity', 'citric_acid', 'residual_sugar', 'sulphates'),0.47692307692307695,0.43411268150974835,0.44042831181075015,0.47692307692307695
('fixed_acidity', 'citric_acid', 'residual_sugar', 'alcohol'),0.5171597633136095,0.4912058473729822,0.47684364255001715,0.5171597633136095
('fixed_acidity', 'citric_acid', 'chlorides', 'free_sulfur_dioxide'),0.4686390532544379,0.4397017318599931,0.43382028890495267,0.4686390532544379
('fixed_acidity', 'citric_acid', 'chlorides', 'total_sulfur_dioxide'),0.47692307692307695,0.451023765156029,0.44959194412395237,0.47692307692307695
('fixed_acidity', 'citric_acid', 'chlorides', 'density'),0.4686390532544379,0.4402546692742182,0.4291094496411455,0.4686390532544379
('fixed_acidity', 'citric_acid', 'chlorides', 'pH'),0.45680473372781066,0.4245176016484007,0.41471262104841194,0.45680473372781066
('fixed_acidity', 'citric_acid', 'chlorides', 'sulphates'),0.4686390532544379,0.43328780261114924,0.42487717190347224,0.4686390532544379
('fixed_acidity', 'citric_acid', 'chlorides', 'alcohol'),0.49230769230769234,0.46550778196846776,0.45451701966125047,0.49230769230769234
('fixed_acidity', 'citric_acid', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.47810650887573963,0.43840486785172844,0.4350003300513031,0.47810650887573963
